number_of_reviews,minimum_nights,calculated_host_listings_count,room_type,price
0.42857142857142855,0.14285714285714285,1.0,0.5,243
0.0,0.0,0.08695652173913043,0.0,119
0.5714285714285714,0.14285714285714285,1.0,0.5,234
1.0,0.14285714285714285,0.0,0.0,58
0.0,0.0,0.018633540372670804,0.0,329
0.0,0.8571428571428572,0.0031055900621118036,1.0,25
1.0,0.0,0.006211180124223604,0.0,60
0.8571428571428572,0.0,0.037267080745341616,0.5,137
1.0,0.0,0.012422360248447204,0.5,139
1.0,0.8571428571428572,0.13043478260869565,0.0,99
0.0,0.14285714285714285,1.0,0.5,254
0.0,0.0,0.0031055900621118036,0.0,109
0.5714285714285714,0.0,0.009316770186335404,0.0,65
0.7142857142857142,0.0,0.009316770186335404,0.0,249
0.7142857142857142,0.8571428571428572,0.13043478260869565,0.0,55
0.42857142857142855,0.0,0.018633540372670804,0.0,69
0.8571428571428572,0.0,0.0031055900621118036,1.0,75
0.2857142857142857,0.7142857142857142,0.006211180124223604,0.0,63
0.14285714285714285,0.0,0.015527950310559004,0.0,70
0.0,0.0,0.0,0.0,119
1.0,0.14285714285714285,1.0,0.5,228
0.14285714285714285,0.2857142857142857,0.0,0.5,250
0.5714285714285714,0.14285714285714285,1.0,0.5,229
0.14285714285714285,0.0,0.07763975155279502,0.0,129
0.8571428571428572,0.0,0.02173913043478261,0.0,35
0.0,0.2857142857142857,0.009316770186335404,0.0,90
0.0,0.0,0.009316770186335404,0.0,109
0.0,0.14285714285714285,0.0031055900621118036,1.0,25
1.0,0.0,0.006211180124223604,0.5,299
0.8571428571428572,0.14285714285714285,0.009316770186335404,0.0,80
0.0,0.14285714285714285,1.0,0.5,214
0.5714285714285714,0.0,0.0031055900621118036,0.0,38
0.7142857142857142,0.14285714285714285,1.0,0.5,245
0.8571428571428572,0.14285714285714285,1.0,0.5,234
0.0,0.42857142857142855,0.0,1.0,35
0.14285714285714285,0.8571428571428572,0.02484472049689441,0.0,169
0.2857142857142857,0.0,0.0,0.0,48
0.0,0.14285714285714285,1.0,0.5,203
0.7142857142857142,0.0,0.0031055900621118036,0.0,119
0.0,0.0,0.027950310559006212,0.5,211
0.2857142857142857,0.2857142857142857,0.0,0.5,85
0.0,0.14285714285714285,0.0031055900621118036,0.0,75
0.0,0.42857142857142855,0.006211180124223604,1.0,30
0.7142857142857142,0.8571428571428572,0.13043478260869565,0.0,62
0.8571428571428572,0.14285714285714285,1.0,0.5,235
0.14285714285714285,0.5714285714285714,0.006211180124223604,0.0,58
0.0,0.2857142857142857,0.0031055900621118036,1.0,65
0.8571428571428572,0.14285714285714285,0.0,0.0,55
0.14285714285714285,0.0,0.06521739130434782,0.0,45
0.14285714285714285,0.0,0.009316770186335404,0.0,49
0.42857142857142855,0.42857142857142855,0.0,0.0,75
0.8571428571428572,0.2857142857142857,0.02484472049689441,0.5,189
0.5714285714285714,0.14285714285714285,0.0031055900621118036,1.0,30
0.14285714285714285,0.42857142857142855,0.0031055900621118036,0.0,39
0.0,0.0,0.0,0.0,50
0.14285714285714285,0.0,0.006211180124223604,0.0,48
0.14285714285714285,0.0,0.08695652173913043,0.0,119
0.14285714285714285,0.14285714285714285,1.0,0.5,245
0.0,0.0,0.018633540372670804,0.0,69
0.7142857142857142,0.2857142857142857,0.0031055900621118036,0.5,88
0.7142857142857142,0.42857142857142855,0.009316770186335404,0.0,33
0.2857142857142857,0.2857142857142857,0.0,0.0,70
0.5714285714285714,0.14285714285714285,0.02484472049689441,0.0,62
0.14285714285714285,0.0,0.015527950310559004,0.0,65
0.0,0.14285714285714285,0.06521739130434782,0.0,36
0.0,0.14285714285714285,0.015527950310559004,1.0,20
0.7142857142857142,0.0,0.006211180124223604,0.0,325
0.2857142857142857,0.0,0.0,0.0,65
0.0,0.0,0.018633540372670804,0.0,65
